City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,revelstoke,50.9832,-118.2023,-3.99,100,100,1.03,CA,1673020485
283,makakilo city,21.3469,-158.0858,22.6,85,0,1.54,US,1672938666
284,alta floresta,-9.8756,-56.0861,21.26,100,100,1.23,BR,1672997380
285,qostanay,53.1667,63.5833,-7.84,86,100,4.0,KZ,1672977516
286,nikolskoye,59.7035,30.7861,-9.06,91,54,0.85,RU,1672988006
287,arrecife,28.963,-13.5477,18.99,72,20,3.09,ES,1672991312
288,ape,57.5393,26.6929,-12.94,69,8,2.35,LV,1672987972
289,camacupa,-12.0167,17.4833,21.14,83,100,2.68,AO,1672979493
290,swift current,50.2834,-107.8014,-11.55,85,0,4.12,CA,1673017798
291,balaipungut,1.05,101.2833,28.05,78,57,2.5,ID,1672960701
292,yuancheng,36.652,107.7896,2.28,27,0,2.05,CN,1672963291
293,saskylakh,71.9167,114.0833,-40.85,100,97,1.63,RU,0
294,sisimiut,66.9395,-53.6735,-11.34,61,100,3.98,GL,1673014573
295,vanimo,-2.6741,141.3028,26.4,88,96,4.34,PG,1672950722
296,faanui,-16.4833,-151.75,26.98,69,48,4.56,PF,1672933208
297,kruisfontein,-34.0033,24.7314,21.6,48,71,4.41,ZA,1672975017
298,jacareacanga,-6.2222,-57.7528,21.92,100,100,0.32,BR,1672998154
299,severobaykalsk,55.65,109.3167,-17.56,96,100,1.64,RU,1672967396
300,fairbanks,64.8378,-147.7164,-23.02,79,20,0.0,US,1673034408
301,oron,4.8256,8.2343,31.17,49,82,1.55,NG,1672983416
302,gazli,40.1333,63.45,10.78,50,96,4.72,UZ,1672974514
303,upernavik,72.7868,-56.1549,-26.84,82,17,4.44,GL,0
304,grand-santi,4.25,-54.3833,21.53,100,97,0.72,GF,1672998391
305,agirish,61.9247,63.0231,-28.4,100,92,1.5,RU,1672981560
306,porto nacional,-10.7081,-48.4172,23.0,90,100,0.24,BR,1672995452
307,hasaki,35.7333,140.8333,6.22,46,98,2.35,JP,1672955217
308,mundo nuevo,18.7,-95.5,22.16,87,4,4.5,MX,1673009759
309,nara,34.6851,135.8049,8.62,69,78,1.79,JP,1672956265
310,berlevag,70.8578,29.0864,1.0,64,40,8.75,NO,0
311,nizhniy baskunchak,48.2198,46.8311,5.77,92,100,9.05,RU,1672980167
312,mananjary,-21.2167,48.3333,29.39,58,26,4.4,MG,1672971063
313,chapada dos guimaraes,-15.4606,-55.7497,18.81,98,96,1.16,BR,1672996706
314,egvekinot,66.3167,-179.1667,-22.08,93,100,4.11,RU,1673043666
315,berdigestyakh,62.0989,126.6992,-41.41,100,97,0.79,RU,1672966404
316,chisinau,47.0056,28.8575,7.24,77,100,6.69,MD,1672984193
317,evensk,61.95,159.2333,-21.64,73,100,3.64,RU,1672958503
318,seto,35.2333,137.1,7.63,60,100,1.05,JP,1672956037
319,hirara,24.8,125.2833,17.92,100,75,6.17,JP,1672957467
320,husavik,66.0449,-17.3389,-4.63,87,100,3.78,IS,1673004528
321,kidal,18.4411,1.4078,23.08,16,99,5.8,ML,1672986469
322,ust-ilimsk,58.0006,102.6619,-9.47,96,99,1.85,RU,1672969949
323,khandyga,62.6667,135.6,-36.08,100,98,1.16,RU,1672964663
324,klyuchevskiy,53.5317,119.4519,-25.12,99,84,0.87,RU,1672964229
325,sorong,-0.8833,131.25,27.95,78,100,4.04,ID,1672953314
326,flinders,-34.5833,150.8552,18.43,82,100,2.68,AU,1672944639
327,sambava,-14.2667,50.1667,28.27,67,79,4.25,MG,1672971406
328,uyuni,-20.4597,-66.825,7.46,65,83,3.13,BO,1672998803
